suggestion_id,session_id,turn_index,created_ts,latency_ms,was_shown,was_copied,was_sent
sg-fe303e3e3973,sid-dc5fdd1776be,3,2025-09-15T08:23:39Z,832,TRUE,TRUE,TRUE
sg-ef988872dfae,sid-1e4609526c26,8,2025-11-10T09:43:52Z,3544,FALSE,FALSE,FALSE
sg-f55cf80e3f4c,sid-080447c6525c,1,2025-10-26T15:18:53Z,1073,FALSE,FALSE,FALSE
sg-b328607673b9,sid-751452b68c7c,1,2025-09-26T18:15:56Z,2760,TRUE,FALSE,TRUE
sg-a2e27f72689b,sid-2b7ac129599e,4,2025-10-29T13:02:11Z,1256,FALSE,FALSE,FALSE
sg-9d227afd1c69,sid-482c843a975d,6,2025-09-20T17:35:58Z,1635,TRUE,FALSE,FALSE
sg-a837953611f0,sid-7ddf861d30a5,0,2025-11-08T13:28:08Z,4112,FALSE,FALSE,FALSE
sg-34f8b4af5d02,sid-48f1c5a29d50,7,2025-11-08T08:39:09Z,1570,TRUE,TRUE,FALSE
sg-f6bb06516580,sid-c21ce034c1c8,4,2025-11-02T10:30:42Z,4705,TRUE,FALSE,FALSE
sg-b031193641ac,sid-efb892f6c9c8,5,2025-11-11T18:35:51Z,4419,FALSE,FALSE,FALSE
sg-7558757649e4,sid-86653427e644,7,2025-09-19T14:56:38Z,7967,FALSE,FALSE,FALSE
sg-03a5966f411b,sid-64b97cc43fcb,2,2025-09-03T19:22:00Z,3492,FALSE,FALSE,FALSE
sg-66007187a820,sid-db42e66305f6,3,2025-11-02T11:57:32Z,901,TRUE,FALSE,FALSE
sg-38c6d6e9c8db,sid-fb6f7ec20656,1,2025-11-24T17:08:04Z,885,TRUE,TRUE,TRUE
sg-72244337a9cc,sid-ad787614aa49,8,2025-09-29T13:36:53Z,3283,FALSE,FALSE,FALSE
sg-ec81c143f287,sid-4f7120f7db89,9,2025-12-01T19:31:40Z,3053,TRUE,FALSE,FALSE
sg-686c5e1ede5b,sid-e651397c15b9,1,2025-09-14T16:14:04Z,729,TRUE,FALSE,FALSE
sg-3a00c31371b8,sid-951cc34828c7,0,2025-10-21T16:53:03Z,5304,TRUE,FALSE,FALSE
sg-69744661337a,sid-5591663e8f35,5,2025-10-13T11:36:05Z,4154,TRUE,FALSE,FALSE
sg-1e4e4fbd6202,sid-063211e315cb,0,2025-09-04T08:53:30Z,2234,TRUE,FALSE,FALSE
sg-b4d6d32becf2,sid-5f410a9fe3cc,1,2025-09-13T11:08:56Z,2657,TRUE,TRUE,FALSE
sg-f141df78c30e,sid-db42e66305f6,2,2025-11-02T11:51:01Z,1304,TRUE,TRUE,TRUE
sg-cabcdc168f8b,sid-4f7120f7db89,9,2025-12-01T19:22:44Z,3327,FALSE,FALSE,FALSE
sg-c53a1b14609a,sid-72936a2c940b,9,2025-11-06T15:53:33Z,1803,TRUE,FALSE,FALSE
sg-8cf15a41cacf,sid-e2621d7d3c3e,6,2025-10-24T17:56:51Z,826,TRUE,TRUE,FALSE
sg-8e07c592794f,sid-147fb4918a98,5,2025-11-13T10:57:54Z,1708,TRUE,TRUE,TRUE
sg-0b2edf37762d,sid-253b06586f86,4,2025-11-16T13:01:22Z,1164,FALSE,FALSE,FALSE
sg-567f80a630cc,sid-977c66ce6d1d,11,2025-11-27T12:40:42Z,3475,FALSE,FALSE,FALSE
sg-6bafeb9051a3,sid-df330c13f90c,4,2025-10-26T13:28:49Z,2624,FALSE,FALSE,FALSE
sg-c1f85e6708c2,sid-de7fa19df902,5,2025-09-29T17:29:25Z,2864,FALSE,FALSE,FALSE
sg-159344d26053,sid-91bccdfcebb4,0,2025-11-29T11:19:41Z,2861,TRUE,TRUE,TRUE
sg-ba3870e66c53,sid-3d226009e79b,0,2025-09-20T09:17:44Z,1337,FALSE,FALSE,FALSE
sg-d2ca9ee86b56,sid-48f1c5a29d50,3,2025-11-08T08:42:08Z,3885,TRUE,TRUE,TRUE
sg-17694f01ced5,sid-64b97cc43fcb,2,2025-09-03T19:20:14Z,3418,FALSE,FALSE,FALSE
sg-c4f0973c1af1,sid-c344026be095,5,2025-10-08T10:24:17Z,1917,TRUE,TRUE,FALSE
sg-1badedf232a7,sid-aac7ec23f63d,0,2025-09-26T15:16:38Z,2986,FALSE,FALSE,FALSE
sg-60c38a450bbf,sid-de7fa19df902,1,2025-09-29T17:15:40Z,3374,FALSE,FALSE,FALSE
sg-9126f4639f86,sid-fdd2dd23475b,6,2025-11-23T14:20:09Z,1024,FALSE,FALSE,FALSE
sg-13962f715232,sid-3d226009e79b,1,2025-09-20T09:34:05Z,3668,FALSE,FALSE,FALSE
sg-5b5b1e0af826,sid-fb6f7ec20656,4,2025-11-24T17:08:24Z,3890,FALSE,FALSE,FALSE
sg-16d77fb899d6,sid-48f1c5a29d50,8,2025-11-08T08:41:17Z,2418,FALSE,FALSE,FALSE
sg-cd68fe5d9ec8,sid-7db3ea2dc025,3,2025-09-22T18:45:00Z,3285,TRUE,FALSE,TRUE
sg-be5966e91934,sid-75fad2e78e37,2,2025-10-21T11:46:35Z,2697,TRUE,FALSE,FALSE
sg-e55a5789837d,sid-9b98efea1f99,3,2025-09-01T15:38:31Z,3150,FALSE,FALSE,FALSE
sg-5d57eca935d4,sid-b270c3066431,6,2025-10-14T20:47:26Z,2597,TRUE,FALSE,FALSE
sg-1e1475474f4c,sid-7ddf861d30a5,8,2025-11-08T13:06:14Z,2774,TRUE,TRUE,FALSE
sg-73094827eae7,sid-80d535acdb83,1,2025-10-09T18:33:17Z,2185,FALSE,FALSE,FALSE
sg-5f66f1d54fa9,sid-a4cdb935db77,2,2025-10-05T13:03:51Z,2643,TRUE,TRUE,TRUE
sg-254816fae482,sid-42941f21db16,1,2025-09-01T17:16:40Z,907,TRUE,TRUE,TRUE
sg-661300d4e874,sid-91bccdfcebb4,5,2025-11-29T11:57:46Z,5504,TRUE,FALSE,FALSE
sg-7186e236963a,sid-c21ce034c1c8,4,2025-11-02T10:44:42Z,3611,TRUE,TRUE,TRUE
