session_id,candidate_id,job_title,job_level,region,start_time,end_time,assistant_enabled,outcome,candidate_feedback_score
sid-32643b44fb66,cid-1001,Product Analyst,senior,US,2025-11-07T18:30:00Z,2025-11-07T19:30:00Z,FALSE,pass,
sid-7db3ea2dc025,cid-1028,Backend Engineer,mid,US,2025-09-22T18:45:00Z,2025-09-22T19:30:00Z,TRUE,fail,4
sid-efb892f6c9c8,cid-1070,BI Engineer,junior,IN,2025-11-11T18:30:00Z,2025-11-11T19:00:00Z,FALSE,pass,4
sid-8e4ce3018722,cid-1047,Data Scientist,mid,EU,2025-09-27T11:30:00Z,2025-09-27T12:00:00Z,TRUE,pass,4
sid-253b06586f86,cid-1056,Data Scientist,junior,EU,2025-11-16T11:45:00Z,2025-11-16T13:15:00Z,FALSE,pass,4
sid-c23cf46a4ea2,cid-1064,Backend Engineer,senior,IN,2025-11-12T20:30:00Z,2025-11-12T21:00:00Z,FALSE,pass,3
sid-bacfb1737292,cid-1061,BI Engineer,mid,US,2025-11-14T15:30:00Z,2025-11-14T16:30:00Z,FALSE,pass,5
sid-de7fa19df902,cid-1080,Backend Engineer,junior,US,2025-09-29T16:45:00Z,2025-09-29T17:30:00Z,FALSE,pass,
sid-f33aefd57b28,cid-1078,Backend Engineer,mid,IN,2025-09-01T19:30:00Z,2025-09-01T20:00:00Z,FALSE,fail,4
sid-0963b661e2ca,cid-1032,BI Engineer,junior,IN,2025-11-05T13:15:00Z,2025-11-05T14:45:00Z,FALSE,fail,4
sid-2fca788624cc,cid-1042,Product Analyst,mid,US,2025-10-04T16:00:00Z,2025-10-04T16:30:00Z,TRUE,no_show,
sid-f54173b02fc8,cid-1095,Product Analyst,senior,US,2025-10-08T18:45:00Z,2025-10-08T19:45:00Z,FALSE,fail,3
sid-fdd2dd23475b,cid-1058,Data Scientist,senior,IN,2025-11-23T13:30:00Z,2025-11-23T15:00:00Z,FALSE,pass,3
sid-db42e66305f6,cid-1097,Data Analyst,mid,IN,2025-11-02T11:30:00Z,2025-11-02T12:00:00Z,TRUE,pass,
sid-9f6a03ebe395,cid-1003,Data Scientist,junior,US,2025-11-23T09:00:00Z,2025-11-23T10:00:00Z,TRUE,pass,4
sid-427053ab3cca,cid-1009,Data Scientist,junior,US,2025-09-13T12:00:00Z,2025-09-13T12:30:00Z,FALSE,pass,4
sid-c344026be095,cid-1072,Backend Engineer,junior,IN,2025-10-08T10:15:00Z,2025-10-08T11:00:00Z,TRUE,fail,
sid-e2621d7d3c3e,cid-1013,Data Scientist,senior,IN,2025-10-24T17:15:00Z,2025-10-24T18:45:00Z,TRUE,fail,
sid-75fad2e78e37,cid-1032,Data Analyst,mid,US,2025-10-21T11:00:00Z,2025-10-21T12:00:00Z,TRUE,fail,4
sid-157f9ce0ddf8,cid-1091,Backend Engineer,junior,IN,2025-09-05T12:45:00Z,2025-09-05T13:15:00Z,TRUE,fail,5
sid-d73c6036bf14,cid-1046,Backend Engineer,senior,EU,2025-11-05T08:30:00Z,2025-11-05T10:00:00Z,FALSE,fail,2
sid-ca774c1a5775,cid-1002,Product Analyst,senior,US,2025-09-17T09:15:00Z,2025-09-17T10:15:00Z,TRUE,fail,5
sid-df330c13f90c,cid-1041,BI Engineer,mid,IN,2025-10-26T13:00:00Z,2025-10-26T14:15:00Z,TRUE,fail,3
sid-482c843a975d,cid-1099,Data Analyst,junior,IN,2025-09-20T17:15:00Z,2025-09-20T18:15:00Z,TRUE,fail,5
sid-3e8406c61af9,cid-1012,Backend Engineer,junior,EU,2025-10-21T10:30:00Z,2025-10-21T11:45:00Z,FALSE,pass,
sid-42941f21db16,cid-1083,Backend Engineer,mid,US,2025-09-01T16:00:00Z,2025-09-01T17:30:00Z,TRUE,pass,4
sid-b2900061c585,cid-1002,BI Engineer,mid,US,2025-09-08T17:00:00Z,2025-09-08T18:15:00Z,TRUE,pass,5
sid-caf3f5ab0da7,cid-1071,BI Engineer,junior,IN,2025-10-29T16:15:00Z,2025-10-29T16:45:00Z,TRUE,pass,5
sid-cc2be0f2475f,cid-1013,Product Analyst,senior,US,2025-11-02T08:15:00Z,2025-11-02T09:15:00Z,TRUE,fail,4
